battery_id,policy,cycle_life,cycle,IR,QCharge,QDischarge,Tavg,Tmax,Tmin,chargetime
94,1C(4%)-6C,300,1.0,0.017542101,1.0675609,1.0680572,30.3635449709479,31.487127,28.999689,10.332668333333277
94,1C(4%)-6C,300,2.0,0.017505454,1.0698104,1.0700541,29.160559781472653,31.66193,26.734909,10.180049999999998
94,1C(4%)-6C,300,3.0,0.017570902,1.071287,1.0719095,29.711383544313733,31.111683,28.086988,10.308321666666597
94,1C(4%)-6C,300,4.0,0.017263489,1.0726261,1.072965,30.235231855232133,31.539034,28.464998,10.276183333333513
94,1C(4%)-6C,300,5.0,0.017489189,1.0714829,1.0719097,29.48176901489034,31.414228,27.695206,10.263641666666809
94,1C(4%)-6C,300,6.0,0.017163873,1.0729553,1.0732948,30.1557294996104,31.646267,28.780985,10.192626666666667
94,1C(4%)-6C,300,7.0,0.017006202,1.0728406,1.0735837,30.347167021326996,31.585262,28.949301,10.268855000000137
94,1C(4%)-6C,300,8.0,0.017519319,1.0708085,1.0720392,29.093283282091914,30.755775,27.254005,10.207951666666485
94,1C(4%)-6C,300,9.0,0.017022504,1.0729717,1.0732112,29.95222875077644,31.257359,28.634039,10.285419999999915
94,1C(4%)-6C,300,10.0,0.016943973,1.0730203,1.0733572,30.023263181675883,31.303814,27.823721,10.189893333333263
94,1C(4%)-6C,300,11.0,0.017272903,1.0717062,1.0720562,29.017101706976693,31.480631,27.259531,10.325721666666746
94,1C(4%)-6C,300,12.0,0.016784677,1.0727481,1.0730482,29.95677927329683,31.816372,28.420038,10.199691666666574
94,1C(4%)-6C,300,13.0,0.01661882,1.0728774,1.0730333,29.760144147566688,32.263004,27.875488,10.196733333333395
94,1C(4%)-6C,300,14.0,0.017097674,1.0719038,1.0723603,29.25629603677627,31.247015,27.303659,10.244680000000033
94,1C(4%)-6C,300,15.0,0.016726129,1.0725317,1.0729095,30.22676873946959,32.248196,28.577196,10.289146666666541
94,1C(4%)-6C,300,16.0,0.016600415,1.0721495,1.0722783,29.624759180327885,31.96641,27.676809,10.292594999999952
94,1C(4%)-6C,300,17.0,0.016958876,1.0718372,1.0721682,29.555286487219217,32.004845,27.119947,10.2462950000001
94,1C(4%)-6C,300,18.0,0.016608132,1.0722153,1.0724574,30.421775268842207,32.062881,28.929228,10.280558333333465
94,1C(4%)-6C,300,19.0,0.016583446,1.0716516,1.07183,29.454506717848727,31.744211,27.065695,10.210161666666682
94,1C(4%)-6C,300,20.0,0.016803086,1.0716367,1.0721538,30.008927421012192,31.865427,28.041809,10.310776666666788
94,1C(4%)-6C,300,21.0,0.016593076,1.071749,1.0721238,30.458083104895145,31.791096,28.964241,10.292108333333454
94,1C(4%)-6C,300,22.0,0.016778117,1.0703902,1.0706863,29.528290828772437,31.183062,26.974333,10.27852166666659
94,1C(4%)-6C,300,23.0,0.016838765,1.0709001,1.0712503,29.80829550465112,31.647417,28.170853,10.325721666666505
94,1C(4%)-6C,300,24.0,0.016642379,1.069687,1.0715271,30.463950215027996,31.677229,29.318232,10.314268333333409
94,1C(4%)-6C,300,25.0,0.016930906,1.069568,1.070012,29.374673023492562,31.752684,27.264421,10.191048333333553
94,1C(4%)-6C,300,26.0,0.016707607,1.069141,1.0710336,30.10870158763694,31.599731,28.768501,10.323723333333328
94,1C(4%)-6C,300,27.0,0.016655333,1.0708926,1.0713403,30.61927900798088,32.400795,29.111752,10.205425000000105
94,1C(4%)-6C,300,28.0,0.017057173,1.069304,1.0695125,29.250609448517956,31.473211,28.003843,10.346558333333329
